"","ID","solidarity_behaviour","solidarity_attitude","treatment_video","c_0031_w1","c_0031_w2","c_0031_w3","c_0032_w1","c_0032_w2","vignette3","vignette4","vignette5","vignette6","vignette1","vignette2","vignette3_w4","vignette4_w4","conjoint_choice1_exp3","conjoint_rating1_exp3","conjoint_rating2_exp3","conjoint_choice2_exp3","conjoint_rating3_exp3","conjoint_rating4_exp3","conjoint_choice3_exp3","conjoint_rating5_exp3","conjoint_rating6_exp3","conjoint_choice1_exp7","conjoint_rating1_exp7","conjoint_rating2_exp7","conjoint_choice2_exp7","conjoint_rating3_exp7","conjoint_rating4_exp7"
"73",5291125310880,0,0,0,NA,166,NA,NA,19,20,91,44,14,NA,NA,NA,NA,1,10,0,2,0,10,1,10,0,NA,NA,NA,NA,NA,NA
"74",5291138482695,1,1,1,NA,119,NA,NA,186,56,72,50,29,NA,NA,NA,NA,1,7,3,1,7,4,1,7,4,NA,NA,NA,NA,NA,NA
"75",5291222840325,0.2,0,0,NA,30,NA,NA,71,109,50,155,24,NA,NA,NA,NA,2,4,6,2,4,6,1,6,4,NA,NA,NA,NA,NA,NA
"76",5291301937140,1,1,0,NA,65,NA,NA,63,129,103,2,81,NA,NA,NA,NA,2,3,6,2,5,5,1,5,4,NA,NA,NA,NA,NA,NA
"77",5291387705565,0.4,1,0,NA,52,NA,NA,42,189,192,37,168,NA,NA,NA,NA,2,7,8,1,8,7,1,7,6,NA,NA,NA,NA,NA,NA
"78",5291441684955,0.6,1,1,NA,74,NA,NA,141,108,152,158,157,NA,NA,NA,NA,2,10,10,1,10,10,2,10,10,NA,NA,NA,NA,NA,NA
"79",5291481226770,0,0,1,NA,48,NA,NA,7,103,87,43,120,NA,NA,NA,NA,2,0,0,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"80",5291536603770,1,1,1,NA,45,NA,NA,87,121,64,46,126,NA,NA,NA,NA,1,10,0,1,10,10,1,10,10,NA,NA,NA,NA,NA,NA
"81",5291559005085,0.2,0,1,NA,48,NA,NA,118,117,33,165,109,NA,NA,NA,NA,2,5,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA
"82",5291559071010,0.2,1,0,NA,186,NA,NA,113,187,111,99,63,NA,NA,NA,NA,2,5,8,1,8,5,1,7,5,NA,NA,NA,NA,NA,NA
"83",5291661861270,0,1,0,NA,119,NA,NA,133,159,65,22,78,NA,NA,NA,NA,2,3,10,2,6,9,2,4,9,NA,NA,NA,NA,NA,NA
"84",5291701508565,1,1,0,NA,74,NA,NA,69,144,65,136,13,NA,NA,NA,NA,1,5,5,2,5,5,2,5,5,NA,NA,NA,NA,NA,NA
"85",5291706729825,0.2,1,1,NA,114,NA,NA,175,79,176,184,119,NA,NA,NA,NA,2,8,10,2,9,10,1,10,7,NA,NA,NA,NA,NA,NA
"86",5291821426140,0.4,1,0,NA,97,NA,NA,82,83,28,132,129,NA,NA,NA,NA,1,4,3,2,2,2,1,5,2,NA,NA,NA,NA,NA,NA
"87",5291853083325,0,0,0,NA,147,NA,NA,58,98,120,39,79,NA,NA,NA,NA,1,4,4,1,4,4,1,4,4,NA,NA,NA,NA,NA,NA
"88",5291866307880,0,1,0,NA,42,NA,NA,134,66,86,156,188,NA,NA,NA,NA,2,10,10,1,10,0,1,10,0,NA,NA,NA,NA,NA,NA
"89",5291870237010,1,0,0,NA,124,NA,NA,129,116,5,156,3,NA,NA,NA,NA,2,5,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA
"90",5291926932510,0,0,1,NA,49,NA,NA,11,32,30,109,146,NA,NA,NA,NA,2,3,7,1,7,2,1,5,3,NA,NA,NA,NA,NA,NA
"91",5291986251825,1,1,0,NA,1,NA,NA,138,49,176,157,59,NA,NA,NA,NA,2,10,10,2,10,10,2,10,10,NA,NA,NA,NA,NA,NA
"92",5291994136455,0.2,1,1,NA,117,NA,NA,175,191,30,16,154,NA,NA,NA,NA,1,8,6,2,6,9,1,9,8,NA,NA,NA,NA,NA,NA
"93",5291998052400,1,1,0,NA,38,NA,NA,88,87,146,10,24,NA,NA,NA,NA,2,4,8,2,3,8,1,9,3,NA,NA,NA,NA,NA,NA
"94",5292002047455,0.4,1,0,NA,164,NA,NA,142,10,75,57,148,NA,NA,NA,NA,2,5,5,2,5,5,2,5,5,NA,NA,NA,NA,NA,NA
"95",5292004710825,0,1,0,NA,40,NA,NA,43,86,189,29,62,NA,NA,NA,NA,1,7,3,1,9,5,2,3,7,NA,NA,NA,NA,NA,NA
"96",5292035049510,0.4,1,1,NA,5,NA,NA,115,29,102,47,61,NA,NA,NA,NA,1,7,3,1,6,3,2,2,7,NA,NA,NA,NA,NA,NA
"97",5292045623880,0,0,1,NA,106,NA,NA,23,43,50,86,72,NA,NA,NA,NA,1,7,7,1,7,7,2,7,7,NA,NA,NA,NA,NA,NA
"98",5292074525400,0.4,1,0,NA,164,NA,NA,34,62,171,118,148,NA,NA,NA,NA,2,8,10,2,7,9,1,9,8,NA,NA,NA,NA,NA,NA
"99",5292180084510,0.2,1,0,NA,108,NA,NA,18,176,93,159,46,NA,NA,NA,NA,1,5,3,2,3,4,2,5,5,NA,NA,NA,NA,NA,NA
"100",5292187955955,0.4,0,0,NA,75,NA,NA,161,63,89,73,24,NA,NA,NA,NA,1,5,5,2,4,6,1,8,4,NA,NA,NA,NA,NA,NA
"101",5292214299585,1,1,0,NA,164,NA,NA,135,28,86,112,153,NA,NA,NA,NA,2,9,9,2,2,9,2,5,9,NA,NA,NA,NA,NA,NA
"102",5292214378695,0.8,1,0,NA,172,NA,NA,182,13,37,125,166,NA,NA,NA,NA,2,5,9,2,3,9,1,8,4,NA,NA,NA,NA,NA,NA
"103",5292307952640,1,1,1,NA,64,NA,NA,97,52,167,70,37,NA,NA,NA,NA,1,7,3,1,5,0,1,2,2,NA,NA,NA,NA,NA,NA
"104",5292405468900,0.2,0,1,NA,105,NA,NA,1,97,130,172,118,NA,NA,NA,NA,2,3,5,2,5,5,2,5,7,NA,NA,NA,NA,NA,NA
"105",5292419998770,1,1,0,NA,56,NA,NA,109,69,45,68,31,NA,NA,NA,NA,1,8,7,1,10,9,1,8,7,NA,NA,NA,NA,NA,NA
"106",5292474110010,1,1,0,NA,163,NA,NA,171,157,166,112,102,NA,NA,NA,NA,1,7,6,2,5,8,2,4,7,NA,NA,NA,NA,NA,NA
"107",5292575674065,0,0,0,NA,179,NA,NA,7,77,176,109,146,NA,NA,NA,NA,1,5,5,1,5,5,2,5,5,NA,NA,NA,NA,NA,NA
"108",5292607212585,1,0,1,NA,50,NA,NA,37,138,29,144,186,NA,NA,NA,NA,2,5,5,1,7,5,1,7,6,NA,NA,NA,NA,NA,NA
"109",5292629732565,0.8,0,1,NA,141,NA,NA,130,176,70,114,3,NA,NA,NA,NA,1,5,5,2,5,5,1,5,5,NA,NA,NA,NA,NA,NA
"110",5292935585010,1,1,1,NA,62,NA,NA,140,163,188,171,191,NA,NA,NA,NA,1,3,0,1,4,0,2,2,5,NA,NA,NA,NA,NA,NA
"111",5293026587880,1,1,1,NA,52,NA,NA,141,147,13,131,38,NA,NA,NA,NA,1,8,5,2,5,7,1,7,6,NA,NA,NA,NA,NA,NA
"112",5293081898955,0,0,0,NA,42,NA,NA,148,147,57,2,44,NA,NA,NA,NA,1,10,6,2,6,9,1,10,7,NA,NA,NA,NA,NA,NA
"113",5293091181195,1,1,1,NA,2,NA,NA,167,85,151,134,122,NA,NA,NA,NA,1,7,4,2,4,6,1,8,3,NA,NA,NA,NA,NA,NA
"114",5293189989585,0.4,0,0,NA,39,NA,NA,135,136,24,176,81,NA,NA,NA,NA,2,5,7,1,8,4,1,9,5,NA,NA,NA,NA,NA,NA
"115",5293216346400,0.4,0,0,NA,62,NA,NA,72,74,61,181,54,NA,NA,NA,NA,1,7,5,2,4,7,2,4,7,NA,NA,NA,NA,NA,NA
"116",5293375950825,1,1,1,NA,91,NA,NA,33,178,139,161,67,NA,NA,NA,NA,2,5,6,2,5,6,2,5,6,NA,NA,NA,NA,NA,NA
"117",5293381264380,0,0,0,NA,168,NA,NA,165,50,169,5,137,NA,NA,NA,NA,2,3,9,2,3,9,1,9,1,NA,NA,NA,NA,NA,NA
"118",5293429996140,0.2,0,1,NA,159,NA,NA,185,170,152,106,15,NA,NA,NA,NA,1,6,5,2,5,6,1,5,4,NA,NA,NA,NA,NA,NA
"119",5293452437010,0,0,1,NA,2,NA,NA,9,1,148,43,58,NA,NA,NA,NA,1,0,0,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"120",5293462905900,1,1,0,NA,72,NA,NA,125,36,40,3,99,NA,NA,NA,NA,2,7,8,1,8,7,1,8,7,NA,NA,NA,NA,NA,NA
"121",5293465661565,0,0,1,NA,137,NA,NA,51,39,13,151,73,NA,NA,NA,NA,2,3,7,2,3,7,2,3,7,NA,NA,NA,NA,NA,NA
"122",5293510451010,0.4,0,0,NA,148,NA,NA,131,166,151,56,30,NA,NA,NA,NA,1,6,0,2,5,5,1,10,3,NA,NA,NA,NA,NA,NA
"123",5293534118085,0,0,1,NA,138,NA,NA,110,98,92,72,135,NA,NA,NA,NA,2,0,0,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"124",5293594861380,1,1,0,NA,100,NA,NA,124,34,145,117,56,NA,NA,NA,NA,1,5,5,2,8,8,2,6,9,NA,NA,NA,NA,NA,NA
"125",5293638385065,1,0,1,NA,106,NA,NA,91,97,18,79,159,NA,NA,NA,NA,1,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"126",5293659428325,0,1,0,NA,52,NA,NA,126,167,174,129,55,NA,NA,NA,NA,2,3,6,1,6,3,2,3,6,NA,NA,NA,NA,NA,NA
"127",5293750365270,1,1,1,NA,169,NA,NA,60,58,54,184,36,NA,NA,NA,NA,1,5,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA
"128",5293782062010,0,0,1,NA,28,NA,NA,69,173,30,71,187,NA,NA,NA,NA,1,9,1,2,1,9,1,9,2,NA,NA,NA,NA,NA,NA
"129",5293907306325,0.4,0,0,NA,133,NA,NA,177,186,27,113,73,NA,NA,NA,NA,2,5,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA
"130",5293923154695,0.4,0,0,NA,85,NA,NA,111,49,123,91,115,NA,NA,NA,NA,1,8,6,1,8,5,1,7,6,NA,NA,NA,NA,NA,NA
"131",5293977186825,0.6,1,1,NA,141,NA,NA,76,85,182,161,29,NA,NA,NA,NA,2,4,9,2,4,9,1,8,4,NA,NA,NA,NA,NA,NA
"132",5294014157565,0.2,0,0,NA,111,NA,NA,63,113,186,187,59,NA,NA,NA,NA,2,0,5,1,5,0,2,0,5,NA,NA,NA,NA,NA,NA
